epoch	train_loss	val_nll_mem	val_nll_zeromem	delta_mem
1	1.776815	1.269775	1.901884	0.632110
2	1.233169	1.138555	1.836424	0.697869
3	1.166663	1.096151	1.870122	0.773971
4	1.115366	1.076359	1.966336	0.889977
5	1.086819	1.063162	1.969039	0.905877
6	1.066112	1.106369	2.019272	0.912903
7	1.063581	1.062099	2.055084	0.992985
8	1.091713	1.170102	1.949133	0.779031
9	1.060758	2.592894	2.025499	-0.567395
10	1.053015	1.131320	2.049923	0.918603
11	1.055065	1.074893	2.057469	0.982577
12	1.048911	2.122595	2.019075	-0.103520
13	1.043982	4.564206	2.045668	-2.518538
14	1.045999	4.405545	2.062396	-2.343149
15	1.042220	2.051659	2.092385	0.040726
16	1.043672	1.071655	2.059078	0.987423
17	1.042777	1.035137	2.055820	1.020683
18	1.045415	1.053272	2.060508	1.007236
19	1.040066	1.043912	2.020912	0.977000
20	1.037464	1.036225	2.056160	1.019935
21	1.041981	1.097369	2.012909	0.915540
22	1.028178	1.025490	2.071215	1.045725
23	1.035522	2.125302	2.026800	-0.098502
24	1.031124	1.232756	2.076138	0.843382
25	1.042776	1.033485	1.976393	0.942908
26	1.021743	1.028692	2.071785	1.043094
27	1.024937	1.100883	2.080710	0.979827
28	1.052491	1.025820	2.006087	0.980267
29	1.025251	1.032391	2.070101	1.037709
30	1.035573	1.048969	2.039723	0.990754
