num windows = 4
(threatrace) pesu-rf@pesu-rf-Precision-3680:~/aptGNN/scripts$ python evaluate_darpatc.py 
[14:54:38] Start validating
[14:54:38] Loading: ../graphchi-cpp-master/graph_data/darpatc/cadets_test.txt
Data(x=[357174, 56], edge_index=[2, 4316489], y=[357174], test_mask=[357174])
[Model 0] Precision: 0.0405 | Recall: 1.0000 | FP: 304584 | FN: 37335
[Model 1] Precision: 0.0411 | Recall: 1.0000 | FP: 300025 | FN: 5218
[Model 2] Precision: 0.0413 | Recall: 1.0000 | FP: 298691 | FN: 1370
[Model 3] Precision: 0.0413 | Recall: 1.0000 | FP: 298009 | FN: 944
[Model 4] Precision: 0.0414 | Recall: 1.0000 | FP: 297878 | FN: 136
[Model 5] Precision: 0.0416 | Recall: 1.0000 | FP: 295756 | FN: 2124
[Model 6] Precision: 0.0416 | Recall: 1.0000 | FP: 295729 | FN: 27
[Model 7] Precision: 0.0417 | Recall: 1.0000 | FP: 295522 | FN: 207
[Model 8] Precision: 0.0418 | Recall: 1.0000 | FP: 294893 | FN: 634
[Model 9] Precision: 0.0418 | Recall: 1.0000 | FP: 294502 | FN: 391
[Model 10] Precision: 0.0418 | Recall: 1.0000 | FP: 294497 | FN: 6
[Model 11] Precision: 0.0418 | Recall: 1.0000 | FP: 294255 | FN: 242
[Model 12] Precision: 0.0419 | Recall: 1.0000 | FP: 294082 | FN: 194
[Model 13] Precision: 0.0419 | Recall: 1.0000 | FP: 293880 | FN: 203
[Model 14] Precision: 0.0419 | Recall: 1.0000 | FP: 293701 | FN: 377
[Model 15] Precision: 0.0420 | Recall: 1.0000 | FP: 293090 | FN: 614
[Model 16] Precision: 0.0420 | Recall: 1.0000 | FP: 292787 | FN: 555
[Model 17] Precision: 0.0421 | Recall: 1.0000 | FP: 292280 | FN: 693
[Model 18] Precision: 0.0421 | Recall: 0.9999 | FP: 292177 | FN: 118
[Model 19] Precision: 0.0421 | Recall: 0.9999 | FP: 292172 | FN: 7
[Model 20] Precision: 0.0421 | Recall: 0.9999 | FP: 292122 | FN: 50
[Model 21] Precision: 0.0421 | Recall: 0.9999 | FP: 292110 | FN: 55
[Model 22] Precision: 0.0421 | Recall: 0.9999 | FP: 292077 | FN: 33
[Model 23] Precision: 0.0422 | Recall: 0.9999 | FP: 291982 | FN: 95
[Model 24] Precision: 0.0422 | Recall: 0.9999 | FP: 291979 | FN: 3
[Model 25] Precision: 0.0422 | Recall: 0.9999 | FP: 291903 | FN: 76
[Model 26] Precision: 0.1617 | Recall: 0.9999 | FP: 66604 | FN: 225366
[Model 27] Precision: 0.1617 | Recall: 0.9993 | FP: 66562 | FN: 690
[Model 28] Precision: 0.1646 | Recall: 0.9993 | FP: 65159 | FN: 1403
[Model 29] Precision: 0.1647 | Recall: 0.9993 | FP: 65158 | FN: 1
[Model 30] Precision: 0.1679 | Recall: 0.9993 | FP: 63654 | FN: 1504
[Model 31] Precision: 0.2348 | Recall: 0.9993 | FP: 41848 | FN: 21806
[Model 32] Precision: 0.2348 | Recall: 0.9993 | FP: 41848 | FN: 0
[Model 33] Precision: 0.2349 | Recall: 0.9993 | FP: 41830 | FN: 18
[Model 34] Precision: 0.2349 | Recall: 0.9993 | FP: 41827 | FN: 3
[Model 35] Precision: 0.2349 | Recall: 0.9993 | FP: 41827 | FN: 0
[Model 36] Precision: 0.2349 | Recall: 0.9993 | FP: 41827 | FN: 0
[Model 37] Precision: 0.2349 | Recall: 0.9993 | FP: 41827 | FN: 0
[Model 38] Precision: 0.2349 | Recall: 0.9993 | FP: 41827 | FN: 0
[Model 39] Precision: 0.6528 | Recall: 0.9993 | FP: 6832 | FN: 34997
[Model 40] Precision: 0.6529 | Recall: 0.9993 | FP: 6829 | FN: 7
[Model 41] Precision: 0.8695 | Recall: 0.9993 | FP: 1927 | FN: 4903

Precision: 0.8695 | Recall: 0.9993 | F-Score: 0.9299
